f1_q1d,f1_q2d,f1_q3d,f2_q1d,f2_q2d,f2_q3d,f3_q1d,f3_q2d,f3_q3d,f1_q1,f1_q2,f1_q3,f2_q1,f2_q2,f2_q3,f3_q1,f3_q2,f3_q3,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,s,s_e,s_d,s1,s2,s3,force
2.5755460056071966,1.1159680159961214,2.6231806982619807,2.5755460056071966,1.1159680159961214,2.6231806982619807,2.5755460056071966,1.1159680159961214,2.6231806982619807,2.575582377168032,1.1159635237251742,2.6232298657474775,2.575582377168032,1.1159635237251742,2.6232298657474775,2.575582377168032,1.1159635237251742,2.6232298657474775,-3.637156083565621e-05,4.49227094710414e-06,-4.916748549675911e-05,-3.637156083565621e-05,4.49227094710414e-06,-4.916748549675911e-05,-3.637156083565621e-05,4.49227094710414e-06,-4.916748549675911e-05,0.11750385980042169,0.11749385975498136,0.1174938598004217,0.019583976633403614,0.019583976633403614,0.019583976633403614,-0.0006899003886709093,0.0
2.575502101178587,1.1159759789758312,2.62313334892003,2.5755087240899854,1.1159777013649634,2.6231254411011817,2.5755025493986565,1.1159728984180264,2.6231249587361263,2.5755455587691447,1.115970610524287,2.623192092864236,2.575552181779498,1.1159723329155207,2.623184185323667,2.5755460056071966,1.1159675299463183,2.6231837003941783,-4.3457590557504057e-05,5.368451544252127e-06,-5.8743944205760856e-05,-4.345768951267717e-05,5.368449443038137e-06,-5.874422248529224e-05,-4.345620853995683e-05,5.368471707748365e-06,-5.8741658052130465e-05,0.11749580749071198,0.11748385973556807,0.1174838598004217,0.019582616262617918,0.019582640929065195,0.01958235861010551,-0.0015143450895720922,0.0
2.575480163820942,1.1159705819969163,2.6230465843138946,2.5754767195843176,1.115964740648395,2.6230874444370578,2.575481049821,1.1159808097844754,2.6230877236920773,2.575501660262196,1.1159679252280719,2.6230756392794703,2.575498217664472,1.1159620839013362,2.6231165020307867,2.5755025493986565,1.1159781530607353,2.623116783848639,-2.149644125400162e-05,2.6567688447102847e-06,-2.9054965575524935e-05,-2.1498080154069525e-05,2.6567470585331184e-06,-2.905759372909677e-05,-2.1499577656385357e-05,2.6567237398167182e-06,-2.9060156561599686e-05,0.1174797698585214,0.11747385978455693,0.1174738598004217,0.019579166737187084,0.019579779170361626,0.019580350962361832,-0.0019223313327702183,0.0
2.5754724003801113,1.1159580233716477,2.622946768872692,2.5754486858148224,1.1159402121213806,2.6230615607256236,2.5754734314625707,1.1159893567019044,2.6230633554023997,2.5754800155546866,1.1159570817837694,2.6229570607294486,2.575456302313812,1.1159392705507418,2.623071854656949,2.575481049821,1.11598841515984,2.6230736525285576,-7.615174575564969e-06,9.415878781144265e-07,-1.0291856756641645e-05,-7.616498989919776e-06,9.41570638733925e-07,-1.0293931325424142e-05,-7.618358429575483e-06,9.415420643676778e-07,-1.0297126157856658e-05,0.11746595359836182,0.11746385979843094,0.1174638598004217,0.019575901264135605,0.01957728408042576,0.019579295124667762,-0.0020669195137232653,0.0
2.575455534876124,1.1159517548571443,2.6228693559150145,2.575418943807317,1.1159266057791362,2.6230291077189904,2.5754565896597637,1.115996029066915,2.6230318538358977,2.575472366850636,1.1159496731499092,2.622892103112118,2.5754357796819773,1.1159245241223759,2.6230518609911346,2.5754734314625707,1.1159939475010439,2.6230546172994624,-1.6831974511869135e-05,2.0817072350809514e-06,-2.274719710352036e-05,-1.6835874660187076e-05,2.0816567604058463e-06,-2.275327214438368e-05,-1.684180280713358e-05,2.08156587107758e-06,-2.2763463564875775e-05,0.117458487985092,0.11745385979069638,0.11745385980042171,0.019574157844504076,0.01957599599060139,0.019578898235747547,-0.002386574136009329,0.0
2.575425291124955,1.115952975945775,2.6228102463991534,2.5753858480118983,1.1159254177500797,2.6229857569202375,2.575426511887313,1.116001481945541,2.6229886990498947,2.5754553496325565,1.1159492578135257,2.6228508668264636,2.575415914234984,1.1159216997176697,2.623026389379306,2.5754565896597637,1.1159977640901508,2.623029351362619,-3.005850760176092e-05,3.7181322494012327e-06,-4.0620427310328276e-05,-3.0066223085896534e-05,3.718032409704977e-06,-4.0632459068559195e-05,-3.0077772450598443e-05,3.7178553902740035e-06,-4.065231272419044e-05,0.11745212482939034,0.1174438597694112,0.11744385980042171,0.01957292104807005,0.019574958824052965,0.019578125290985845,-0.0029574988109679038,0.0
2.5753957085893058,1.1159530117520937,2.6227434480873635,2.575352515611389,1.11592192736045,2.622942364593114,2.5753972336057624,1.116007707772539,2.622945572056082,2.575424965654961,1.1159493917448922,2.622782983058989,2.5753817813110045,1.1159183074649546,2.622981913055223,2.575426511887313,1.1160040880697912,2.622985142143876,-2.9257065654837593e-05,3.620007201638432e-06,-3.953497162526382e-05,-2.9265699615788962e-05,3.6198954951898096e-06,-3.954846210910006e-05,-2.9278281550569253e-05,3.6197027478783204e-06,-3.957008779399177e-05,0.11744190445088418,0.11743385977104862,0.11743385980042172,0.01957085912820939,0.01957320495718759,0.019576749516454633,-0.0035133406057403465,0.0
2.575375533963154,1.1159474673740268,2.6226611215162223,2.5753214097352863,1.1159090478063538,2.622906423563339,2.5753773213535807,1.1160150743738564,2.6229104351613604,2.5753954284227527,1.1159450048937103,2.6226880027011337,2.5753413113820756,1.1159065854187564,2.622933315968691,2.5753972336057624,1.1160126121484781,2.622937345797664,-1.989445959885782e-05,2.462480316354097e-06,-2.6881184911169844e-05,-1.9901646789266956e-05,2.462387597561076e-06,-2.6892405351786096e-05,-1.9912252181697164e-05,2.4622253784796035e-06,-2.6910636303627964e-05,0.11742933021612786,0.11742385978684232,0.11742385980042172,0.019568112865853485,0.019570984903693172,0.01957538028267525,-0.0038914331980518203,0.0
2.5753587658565213,1.115940426660985,2.6225775629125714,2.575291345138423,1.115893856144481,2.622873544614744,2.575360700842793,1.1160223912225966,2.6228785331628144,2.5753753684359655,1.1159383709509432,2.622599994571103,2.57530795485142,1.1158918005261524,2.6228959873898834,2.5753773213535807,1.1160203357691723,2.622900994503607,-1.6602579444036926e-05,2.0557100415313048e-06,-2.2431658531743733e-05,-1.6609712996813543e-05,2.055618328409608e-06,-2.244277513919724e-05,-1.662051078773089e-05,2.055453424150393e-06,-2.246134079259626e-05,0.11741842523259827,0.11741385979096552,0.11741385980042172,0.019565646538944752,0.019569060996375825,0.01957442524487885,-0.00420705901910197,0.0
2.5753370022641753,1.1159365782401003,2.622504135816667,2.57526021268437,1.1158841211446537,2.6228368735806873,2.575339060425691,1.1160289073223146,2.622842535965469,2.5753586164320597,1.1159339013165832,2.6225333370350628,2.5752818372275548,1.1158814443542435,2.6228660909552195,2.575360700842793,1.1160262307740818,2.6228717806363404,-2.1614167884550276e-05,2.6769235170629407e-06,-2.9201218395847624e-05,-2.1624543184353482e-05,2.676790410501817e-06,-2.921737453203796e-05,-2.1640417101881215e-05,2.6765482327669703e-06,-2.9244670871725126e-05,0.11740980350458478,0.11740385978439684,0.11740385980042173,0.01956376201026062,0.019567576589746078,0.019573635464414218,-0.004618052961220604,0.0
