Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0112050092056902,0.00903435303290881,0,0,0,0,0.00667905021420443,3.27627079841824E-07,2.89965033003688E-08,4.03896783473158E-24,4.32111295614106E-07,5.25065818515105E-24,4.79200873099411E-07,0,0,0,0,0,0,package://fullFingerv2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullFingerv2/meshes/base_link.STL,,1flexure_forURDF-1,Coordinate System11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
prox_flexa,-0.00415716507783549,0.002778125,0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625996E-10,5.48927703902047E-26,1.39564166287819E-09,-5.61483003706636E-26,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_flexa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_flexa.STL,,flexurepart_forURDF-1,Origin_p1,Axis1 <flexurepart_forURDF-1>,p1,continuous,0,0.01905,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
prox_flexb,-0.00415716507783549,0.00277812499999999,-0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625996E-10,1.93300848556864E-25,1.39564166287819E-09,-1.06633802984066E-25,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_flexb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_flexb.STL,,flexurepart_forURDF-2,Origin_p2,Axis2 <flexurepart_forURDF-1>,p2,continuous,-0.00831433015567099,0.00555625,0,0,0,-1.96336367021993,prox_flexa,0,0,1,,,,,,,,,,,,
prox_link,0.0109069402030736,0.0127,0.0079375,0,0,0,0.00862121474090887,5.8836084964385E-07,4.67293770975063E-23,-1.03279116542085E-24,5.44679150672075E-07,2.62724709544136E-23,7.70926530117698E-07,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullFingerv2/meshes/prox_link.STL,,mid_finger_urdf-1,Origin_p3,Axis2 <flexurepart_forURDF-2>,p3,continuous,-0.00831433015567098,0.00555624999999999,-0.0079375,0,0,1.96336367021993,prox_flexb,0,0,1,,,,,,,,,,,,
mid_flexa,-0.00415716507783549,0.002778125,0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625996E-10,9.86644111378024E-26,1.39564166287819E-09,-1.5439307957947E-25,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_flexa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_flexa.STL,,flexurepart_forURDF-3,Origin_m1,Axis1 <flexurepart_forURDF-3>,m1,continuous,0,0.0254,0.0079375,0,0,0,prox_link,0,0,1,,,,,,,,,,,,
mid_flexb,-0.00415716507783549,0.002778125,-0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625996E-10,1.37379584376573E-25,1.39564166287819E-09,-8.1339086796441E-26,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_flexb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_flexb.STL,,flexurepart_forURDF-4,Origin_m2,Axis2 <flexurepart_forURDF-3>,m2,continuous,-0.00831433015567099,0.00555625,0,0,0,-1.96336367021993,mid_flexa,0,0,1,,,,,,,,,,,,
mid_link,0.0109069402030736,0.0127,0.0079375,0,0,0,0.00862121474090887,5.8836084964385E-07,8.96103225002178E-23,2.15253831587586E-23,5.44679150672075E-07,-5.35643405356258E-25,7.70926530117698E-07,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullFingerv2/meshes/mid_link.STL,,mid_finger_urdf-2,Origin_m3,Axis2 <flexurepart_forURDF-4>,m3,continuous,-0.00831433015567099,0.00555625,-0.0079375,0,0,1.96336367021993,mid_flexb,0,0,1,,,,,,,,,,,,
dist_flexa,-0.0041571650778355,0.002778125,0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625996E-10,5.48927703902048E-26,1.39564166287819E-09,-1.09912852412367E-25,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_flexa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_flexa.STL,,flexurepart_forURDF-5,Origin_d1,Axis1 <flexurepart_forURDF-5>,d1,continuous,0,0.0254,0.0079375,0,0,0,mid_link,0,0,1,,,,,,,,,,,,
dist_flexb,-0.0041571650778355,0.002778125,-0.00396875,0,0,0,0.0001260078125,1.00405079022647E-09,4.72868184625995E-10,2.20681356627665E-25,1.39564166287819E-09,-1.53091639842648E-25,1.07652838551839E-09,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_flexb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_flexb.STL,,flexurepart_forURDF-6,Origin_d2,Axis2 <flexurepart_forURDF-5>,d2,continuous,-0.00831433015567099,0.00555624999999999,0,0,0,-1.96336367021993,dist_flexa,0,0,1,,,,,,,,,,,,
dist_link,0.00999855726971256,0.0118562944688803,0.0079375,0,0,0,0.00770001963670102,5.03930172257717E-07,4.2901268916097E-08,2.62719737380806E-23,4.50269705001729E-07,-8.40721902908941E-24,6.30779000383533E-07,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullFingerv2/meshes/dist_link.STL,,fingertip_urdf-1,Origin_d3,Axis2 <flexurepart_forURDF-6>,d3,continuous,-0.00831433015567099,0.00555624999999999,-0.0079375,0,0,1.96336367021993,dist_flexb,0,0,1,,,,,,,,,,,,
